mass_npea,size_npear,malign_ratio,damage_size,exposed_area,std_dev_malign,err_malign,malign_penalty,damage_ratio,tumor_size
6930.9,2919.02,0.42116000000000003,51.8298,988829.407,109.48700000000001,2758.76,72,39.361999999999995,14.103
15635.7,4879.36,0.31206,223.55,2058426.3009,248.88099999999997,5952.53,240,22.0253,2.648
10376.2,2613.88,0.25190999999999997,127.337,1434676.1,160.093,4635.26,73,29.9963,1.6880000000000002
13093.8,4510.06,0.34444,155.44,1812195.1833,173.015,5273.87,32,28.1354,3.7960000000000003
7545.21,2882.36,0.38201,85.1237,1043917.5012,124.414,3263.35,57,35.02,18.023
6851.09,2195.18,0.32041,72.8283,948446.7021,97.1881,3688.57,40,36.3481,1.709
7069.24,1886.09,0.2668,58.2686,1024783.1169,76.9447,3168.44,22,39.9961,9.937000000000001
16446.1,5115.45,0.31104,204.97400000000002,2167355.3462,265.881,6425.91,242,22.9533,2.51
6814.73,2043.78,0.2999,90.0889,966983.4622,99.6286,3428.54,27,37.1642,12.568
5049.75,949.82,0.18809,41.2957,690622.9283,70.4142,2734.59,27,41.1366,13.427999999999999
7786.91,2288.1,0.29383000000000004,72.8165,1078552.8272,117.321,3353.9,63,37.7183,14.597000000000001
12730.7,4139.31,0.32514,152.332,1781595.2829,170.425,5202.67,29,27.9358,3.5839999999999996
12433.6,3151.09,0.25343000000000004,112.381,1734490.1045,165.43,4718.09,40,29.0498,17.823
9205.53,2649.05,0.28776,85.2738,1314309.5978,133.593,3997.23,4,36.2856,2.11
9037.9,2387.35,0.26414,85.9327,1221154.3243,112.059,3616.39,9,35.6783,15.329
7056.91,3216.19,0.45575,46.1277,1020513.3559999999,115.01,3482.17,34,41.6588,13.200999999999999
7036.05,1705.42,0.24238,75.8096,953375.4296,91.4481,3346.91,31,33.0085,7.846
8039.25,2297.18,0.28574,87.4432,1110305.5335,113.54,3103.93,21,37.5014,0.5770000000000001
5267.57,1318.31,0.25026,48.7657,696798.2859,80.8711,3318.9,17,41.3319,1.8659999999999999
